,Hour,dayofweek,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),hour diff,isWeekend,Holiday,weather_Clouds,weather_Drizzle,weather_Dust,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,rental_cnt
649,7,0,27.12,49,4.63,10000.0,15.49,0.0,0.0,59887.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10388
650,16,0,23.98,69,4.63,10000.0,17.95,0.0,0.0,59224.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8099
651,1,1,28.31,89,1.03,10000.0,26.32,0.0,0.0,59569.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657
652,5,3,26.57,91,1.54,9150.339366515836,24.98,0.24,0.0,59453.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,743
653,8,1,25.18,38,1.54,10000.0,9.87,0.0,0.0,59744.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14305
654,21,5,17.91,82,4.12,10000.0,14.8,0.18,0.0,59685.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7807
655,20,4,22.7,88,2.57,10000.0,20.61,0.0,0.0,59324.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8791
656,6,5,27.54,51,4.63,10000.0,16.5,0.0,0.0,59838.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053
657,14,0,24.14,73,1.54,10000.0,19.0,0.0,0.0,59222.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5021
658,2,0,30.48,66,2.06,10000.0,23.41,0.0,0.0,59378.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940
659,6,4,27.27,54,3.6,10000.0,17.15,0.16,0.0,59814.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4367
660,5,3,31.21,71,0.93,9150.339366515836,25.32,0.0,0.0,59621.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681
661,11,1,25.66,73,2.57,10000.0,20.46,0.0,0.0,59243.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5244
662,6,0,24.41,78,3.09,10000.0,20.33,0.25,0.0,59214.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2072
663,6,3,26.59,100,4.12,5000.0,26.59,0.16,0.0,59454.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,871
664,12,1,25.92,78,2.06,10000.0,21.79,0.0,0.0,59412.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4969
665,8,5,28.86,65,4.12,10000.0,21.62,0.0,0.0,59336.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5149
666,10,5,25.16,78,2.06,10000.0,21.05,0.0,0.0,59338.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5892
667,21,1,25.41,100,1.03,7000.0,25.41,0.0,0.0,59589.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5746
668,11,0,20.78,83,0.51,10000.0,17.79,0.0,0.0,59891.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5737
669,5,2,30.92,48,2.57,10000.0,18.63,0.0,0.0,59261.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138
670,12,2,27.35,92,1.03,7000.0,25.93,0.16,0.0,59436.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4821
